query,difficulty
A0A127H385,0.44
A0A131Y1S2,0.43
A0A132A399,0.73
A0A132HEV5,0.67
A0A132HQD2,0.55
A0A132MNP0,0.56
A0A132NNW5,0.47
A0A132NVE1,0.48
A0A132NZM2,0.46
A0A132PKE5,0.64
A0A132U368,0.51
A0A133N434,0.72
A0A133PXX1,0.43
A0A133UV38,0.54
A0A133VBH6,0.56
A0A133Y2N1,0.49
A0A134A8F6,0.7
A0A134BIB9,0.48
A0A134BP79,PARSE_ERROR
A0A134CDZ4,0.53
A0A134CEW9,0.39
A0A134DKH1,0.56
A0A135IBF8,0.76
A0A135L1B5,0.54
A0A135TSZ3,0.43
A0A135UP97,0.76
A0A135ZG17,0.51
A0A136M2K6,0.5
A0A136NMR8,0.47
A0A136Q884,0.76
A0A137SEM6,0.68
A0A137XSQ2,0.56
A0A139CLS6,0.66
A0A139K0H7,0.54
A0A139KXL7,0.41
A0A139LS13,0.42
A0A139R5G4,0.74
A0A139T9Q7,0.7
A0A140G3W3,0.48
A0A140LB63,0.67
A0A140NJ57,0.59
A0A142B7E5,0.58
A0A142GS87,0.73
A0A142XQU0,0.63
A0A143BID8,0.49
A0A143PKA2,0.75
A0A143Q0Y6,0.41
A0A143WZS8,0.49
A0A143XPV0,0.5
A0A143Y1J0,0.52
A0A143ZJY4,0.56
A0A144KT83,0.48
A0A144MKY4,0.31
A0A146FJ92,0.36
A0A146FSA7,0.47
A0A146FVE8,0.4
A0A146FVV1,0.6
A0A146G2Z9,0.46
A0A146G366,0.55
A0A146G976,0.49
A0A146JRR9,0.56
A0A146M6D2,0.45
A0A146MTT7,0.67
A0A146N5M2,0.37
A0A146NA30,0.6
A0A146NCZ9,0.44
A0A146PN30,0.51
A0A146PNG7,0.48
A0A146PZ98,0.77
A0A146Q881,0.72
A0A146QDU5,0.54
A0A146RAT2,0.57
A0A146RZ88,0.55
A0A146S0G8,0.55
A0A146S8R2,0.5
A0A146SIE7,0.52
A0A146UEU7,0.64
A0A146UG45,0.71
A0A146UHP8,0.51
A0A146URA6,0.4
A0A146VZP6,0.45
A0A146W884,0.51
A0A146WA70,0.46
A0A146WD81,0.35
A0A146X541,0.4
A0A146XFK7,0.68
A0A146XGA9,0.49
A0A146XJU2,0.66
A0A146XK51,0.59
A0A146XUL4,0.43
A0A146YHV3,0.59
A0A146YYC8,0.59
A0A146ZDH6,0.54
A0A146ZG79,0.45
A0A147EQE3,0.58
A0A147GM02,0.63
A0A147ITY6,0.36
A0A149QRF5,0.78
A0A149S5X4,0.65
A0A149THZ7,0.73
A0A150F7B7,0.79
A0A150HBX3,0.49
A0A150IJF8,0.63
A0A150IYC4,0.75
A0A150JJ44,0.66
A0A150KMH5,0.69
A0A150NYD3,0.51
A0A150R2L1,0.29
A0A150RU02,0.38
A0A150TLQ8,0.52
A0A150W1S5,0.54
A0A150WBQ9,0.59
A0A151D3A8,0.46
A0A151GCM0,0.77
A0A151I0R7,0.59
A0A151QDN5,0.63
A0A151RLR6,0.53
A0A151SSP1,0.48
A0A151TYB5,0.5
A0A154QYJ8,0.5
A0A157M7U0,0.43
A0A157S6L8,0.82
A0A158BQU7,0.74
A0A158ICH8,0.45
A0A158KNN4,0.53
A0A158KR02,0.55
A0A158P913,0.47
A0A158S245,0.3
A0A160F5L4,0.54
A0A160TDP5,0.56
A0A160TQ79,0.75
A0A160VP67,0.45
A0A161IEE7,0.75
A0A161K0S6,0.63
A0A161PM16,0.5
A0A161QCC4,0.45
A0A161S1T8,0.47
A0A161W4Y5,0.28
A0A162DZK6,0.75
A0A162HN15,0.42
A0A162JLT0,0.54
A0A162LFI5,0.5
A0A162S7G6,0.58
A0A163BA09,0.57
A0A163BGT9,0.47
A0A163HU60,0.64
A0A163KKY5,0.53
A0A163P6V3,0.74
A0A163SDN1,0.54
A0A163W3S9,0.57
A0A164NGR1,0.53
A0A164NMI9,0.51
A0A165EVG0,0.52
A0A165EWK2,0.47
A0A165F656,0.58
A0A165JF91,0.6
A0A165MVN6,0.66
A0A165QXU2,0.78
A0A165WXZ6,0.56
A0A165YU62,0.41
A0A165ZT93,0.49
A0A166BUR3,0.53
A0A166LD91,0.62
A0A166TG16,0.52
A0A167LTC5,0.5
A0A167NGW6,0.72
A0A167RQL0,0.56
A0A167YYL4,0.76
A0A168ELJ8,0.56
A0A168H6T3,0.48
A0A168JDA9,0.55
A0A168LZQ9,0.44
A0A170PIP4,0.47
A0A172T3R3,0.64
A0A172T4F4,0.56
A0A172UBA6,0.52
A0A172WFT2,0.57
A0A172WM22,0.68
A0A172WPZ5,0.51
A0A173ITW8,0.56
A0A173S3C2,0.42
A0A173SC04,0.57
A0A173SN08,0.47
A0A173UHJ6,0.58
A0A173UK29,0.61
A0A173WZL2,0.73
A0A173XFQ9,0.48
A0A173YYM0,0.52
A0A174AXQ0,0.49
A0A174BD52,0.63
A0A174BR34,0.57
A0A174D779,0.58
A0A174DZ25,0.59
A0A174E5F4,0.62
A0A174ELU2,0.65
A0A174GA52,0.56
A0A174GDC9,0.6
A0A174IN64,0.51
A0A174K0E6,0.61
A0A174L9H3,0.5
A0A174MXX1,0.39
A0A174MYD0,0.55
A0A174P9D1,0.6
A0A174PWE8,0.4
A0A174QUI2,0.65
A0A174RA14,0.41
A0A174RSK8,0.55
A0A174SH31,0.3
A0A174SHN6,0.59
A0A174TGQ7,0.72
A0A174VMI1,0.59
A0A174WET0,0.78
A0A174WPV1,0.79
A0A174XB66,0.44
A0A175JI25,0.35
A0A175RH11,0.62
A0A175RH57,0.44
A0A176FWH5,0.72
A0A176S087,0.48
A0A176VWX7,0.39
A0A176W403,0.43
A0A177KCZ7,0.55
A0A177KJI2,0.41
A0A177PLT9,0.69
A0A177QQK7,0.73
A0A177SBK6,0.57
A0A177SPK5,0.63
A0A177U1D7,0.37
A0A177U5F1,0.59
A0A177UD29,0.63
A0A177UNQ9,0.49
A0A177V065,0.53
A0A177VJ05,0.53
A0A177VZ95,0.55
A0A177W268,0.4
A0A177W608,0.5
A0A177WAX5,0.39
A0A177WKB6,0.48
A0A177WSU4,0.48
A0A177WYA0,0.31
A0A177XU52,0.57
A0A178A737,0.53
A0A178AI76,0.72
A0A178AP27,0.58
A0A178BPE4,0.61
A0A178CQP4,0.52
A0A178GEK0,0.44
A0A178J9E0,0.54
A0A178LJY1,0.65
A0A178VHM9,0.5
A0A178WJJ8,0.56
A0A178XJR4,0.64
A0A178ZBR9,0.49
A0A179B1R0,0.49
A0A179C6E8,0.47
A0A179EQP9,0.38
A0A179F0J8,0.61
A0A179IT93,0.74
A0A181CF54,0.64
A0A182EAI3,0.58
A0A182EFC7,0.51
A0A182RIQ7,0.5
A0A182WLZ2,0.57
A0A183GH97,0.68
A0A183HER4,0.45
A0A183KC06,0.53
A0A183L983,0.39
A0A183MGF2,0.66
A0A183MV00,0.5
A0A183N246,0.62
A0A183V6C0,0.38
A0A192CP62,0.69
A0A192IDI7,0.7
A0A192IJ03,0.48
A0A192IMZ9,0.52
A0A194V2C9,0.32
A0A194VKC5,0.46
A0A198GE52,0.59
A0A199AS59,0.59
A0A199NV31,0.6
A0A199NV32,0.5
A0A199Q2X9,0.5
A0A1A0LGA8,0.56
A0A1A0M129,0.64
A0A1A0TJQ4,0.79
A0A1A1YCW0,0.36
A0A1A2BKZ1,0.73
A0A1A2IUD3,0.55
A0A1A2ZLG6,0.52
A0A1A3FKJ5,0.49
A0A1A3KCJ2,0.66
A0A1A5X6U4,0.51
A0A1A6G4A2,0.74
A0A1A7BWE5,0.47
A0A1A7M2A4,0.51
A0A1A7QF03,0.72
A0A1A7UP23,0.75
A0A1A7WCZ1,0.72
A0A1A8C1C9,0.38
A0A1A8LSF4,0.64
A0A1A8M6R4,0.53
A0A1A8R3N8,0.61
A0A1A8WGR2,0.34
A0A1A8XV04,0.83
A0A1A8YMY1,0.4
A0A1A8Z2E8,0.69
A0A1A9J4S0,0.73
A0A1B0YKQ0,0.72
A0A1B1CN78,0.64
A0A1B1G0T9,0.53
A0A1B1L1D4,0.38
A0A1B1NTJ0,0.56
A0A1B1TWK4,0.72
A0A1B1UUN1,0.52
A0A1B1VDW1,0.49
A0A1B1YIG1,0.67
A0A1B1YKZ4,0.33
A0A1B1YNC2,PARSE_ERROR
A0A1B1Z3A7,0.7
A0A1B2DRD1,0.74
A0A1B2E9G2,0.57
A0A1B2N8P8,0.56
A0A1B2ZB15,0.32
A0A1B3PKQ7,0.76
A0A1B3XI59,0.54
A0A1B4Q3N2,0.53
A0A1B6C1X6,0.52
A0A1B6H7N6,0.66
A0A1B6IAH6,0.51
A0A1B6LQC5,0.52
A0A1B6MMR5,0.49
A0A1B7KSG2,0.27
A0A1B7SGH1,0.77
A0A1B8D8U4,0.49
A0A1B8Q7S9,0.57
A0A1B8T9C5,0.76
A0A1B8WI47,0.53
A0A1B8WL37,0.47
A0A1B8X0B8,0.44
A0A1B8YHE3,0.49
A0A1B9B5L4,0.58
A0A1B9BFJ4,0.44
A0A1B9BYC4,0.29
A0A1B9DKR8,0.73
A0A1B9FYJ2,0.48
A0A1B9GYQ3,0.6
A0A1B9HIY1,0.46
A0A1B9K5E5,0.66
A0A1B9PCJ7,0.53
A0A1B9RYT2,0.62
A0A1C0ABZ4,0.68
A0A1C0AD14,0.44
A0A1C0ADE3,0.56
A0A1C0APN8,0.71
A0A1C0XP85,0.67
A0A1C1C2V3,0.52
A0A1C1CTY6,0.31
A0A1C2D383,0.54
A0A1C2KCY3,0.56
A0A1C3E885,0.53
A0A1C3H6S1,0.57
A0A1C3JSU9,0.55
A0A1C3K7K0,0.48
A0A1C3NVW5,0.59
A0A1C3RD90,0.78
A0A1C3S7I9,0.48
A0A1C4FWE2,0.53
A0A1C4G4P3,0.76
A0A1C4LKY0,0.59
A0A1C4MSG1,0.5
A0A1C4PH93,0.56
A0A1C4S8P1,0.68
A0A1C4SUQ1,0.69
A0A1C5A326,0.55
A0A1C5G316,0.64
A0A1C5GUN4,0.55
A0A1C5JJM4,0.48
A0A1C5NF60,0.53
A0A1C5NGH6,0.46
A0A1C5P2S4,0.77
A0A1C5P7F9,0.46
A0A1C5P7Q7,0.58
A0A1C5Q4G0,0.66
A0A1C5R7E5,0.54
A0A1C5RBA7,0.75
A0A1C5RFV5,0.64
A0A1C5SFH1,0.5
A0A1C5T8Z4,0.51
A0A1C5UJ16,0.51
A0A1C5UJ41,0.65
A0A1C5UNJ7,0.71
A0A1C5UT70,0.58
A0A1C5V1W3,0.55
A0A1C5V6U8,0.58
A0A1C5VLS0,0.57
A0A1C5WEM5,0.47
A0A1C5WSG1,0.52
A0A1C5YZ31,0.52
A0A1C6A6P5,0.69
A0A1C6A922,0.52
A0A1C6AH08,0.51
A0A1C6C736,0.28
A0A1C6D163,0.45
A0A1C6DNF4,0.54
A0A1C6E0A2,0.64
A0A1C6EF32,0.57
A0A1C6EJH8,0.68
A0A1C6EUS0,0.56
A0A1C6EZF2,0.73
A0A1C6FLT9,0.72
A0A1C6G5D7,0.54
A0A1C6GPX7,0.76
A0A1C6H5M5,0.72
A0A1C6HHK9,0.44
A0A1C6I8U6,0.6
A0A1C6I930,0.74
A0A1C6JVQ8,0.5
A0A1C6JZ24,0.68
A0A1C6K5Q1,0.5
A0A1C6LHY6,0.41
A0A1C6LMV3,0.54
A0A1C6NKT4,0.36
A0A1C6NQL3,0.55
A0A1C6S9K5,0.54
A0A1C6V5H7,0.54
A0A1C6W5X8,0.54
A0A1C7GN34,0.68
A0A1C7GU69,0.76
A0A1C7M557,0.34
A0A1C7MIL9,0.69
A0A1C9WXV7,0.5
A0A1D1VF55,0.65
A0A1D1Z2Z6,0.67
A0A1D2A8Q2,0.57
A0A1D2JIP1,0.57
A0A1D2L398,0.69
A0A1D2R1G3,0.45
A0A1D2RD78,0.65
A0A1D2U2G7,0.52
A0A1D2UZB7,0.61
A0A1D2WH37,0.48
A0A1D2WS81,0.68
A0A1D2YUJ1,0.5
A0A1D3D195,0.43
A0A1D3IMX5,0.38
A0A1D5Q9R7,0.49
A0A1D5UEV5,0.68
A0A1D5ULI9,0.55
A0A1D6AF26,0.53
A0A1D6ALR7,0.52
A0A1D6CPS7,0.49
A0A1D6G359,0.45
A0A1D6HG15,0.55
A0A1D6IJU7,0.37
A0A1D6JVH7,0.57
A0A1D7TQQ8,0.67
A0A1D7W3G6,0.49
A0A1D8EXL9,0.54
A0A1D8JAM9,0.52
A0A1D8K9U2,0.49
A0A1D8Y5F6,0.5
A0A1D9ELT9,0.58
A0A1D9FK96,0.63
A0A1D9GZU0,0.35
A0A1D9MZ64,0.7
A0A1E1K0P4,0.49
A0A1E1KL03,0.49
A0A1E1LH99,0.6
A0A1E1LI32,0.45
A0A1E1MSE0,0.48
A0A1E1V858,0.58
A0A1E2UXH9,0.51
A0A1E2VAL0,0.68
A0A1E2W6L9,0.73
A0A1E2YE88,0.55
A0A1E3A2T5,0.71
A0A1E3AF55,0.39
A0A1E3BNJ9,0.62
A0A1E3ISF2,0.5
A0A1E3KCR1,0.59
A0A1E3KUM4,0.5
A0A1E3TAT9,0.49
A0A1E3U7C6,0.54
A0A1E3U8S7,0.46
A0A1E3UFT9,0.57
A0A1E3Z8V8,0.75
A0A1E4BGS6,0.63
A0A1E4CKX3,0.54
A0A1E4CUP0,0.63
A0A1E4E9N0,0.78
A0A1E4EPJ5,0.45
A0A1E4I3W4,0.82
A0A1E4J2X7,0.71
A0A1E4K284,0.66
A0A1E4L4P0,0.51
A0A1E4NQW5,0.58
A0A1E4NZL2,0.47
A0A1E4P0A6,0.61
A0A1E4P3U2,0.5
A0A1E5BGN4,0.53
A0A1E5FPD7,0.61
A0A1E5FVF3,0.66
A0A1E5G6J3,0.74
A0A1E5JN05,0.45
A0A1E5L8W6,0.39
A0A1E5NB97,0.48
A0A1E5RMM7,0.26
A0A1E5RPB1,0.55
A0A1E5RRI7,0.57
A0A1E5RYX2,0.31
A0A1E5WCV5,0.74
A0A1E7K619,0.6
A0A1E7KTZ8,0.53
A0A1E7NFY7,0.54
A0A1E7PVB7,0.65
A0A1E7R1M3,0.49
A0A1E7S0P3,0.53
A0A1E7WWR4,0.46
A0A1E7XTH2,0.7
A0A1E7Z506,0.78
A0A1E8REM4,0.58
A0A1E8S233,0.51
A0A1E8UFL4,0.69
A0A1E8YTX7,0.45
A0A1E9AEE6,0.62
A0A1E9C652,0.54
A0A1E9I8F1,0.7
A0A1E9JB29,0.61
A0A1F0D169,0.47
A0A1F0MLU1,0.43
A0A1F0MYZ6,0.73
A0A1F1AZ75,0.78
A0A1F1GKB6,0.5
A0A1F1J435,0.74
A0A1F1QV02,0.62
A0A1F1SC08,0.53
A0A1F1UQE0,0.67
A0A1F1V3N4,0.51
A0A1F1V6T6,0.48
A0A1F1WYR5,0.39
A0A1F2CWK9,0.54
A0A1F2K654,0.75
A0A1F2K938,0.61
A0A1F2R2N0,0.7
A0A1F2R3R3,0.51
A0A1F2XFX1,0.53
A0A1F3C9F0,0.55
A0A1F3EWW4,0.71
A0A1F3GKF2,0.51
A0A1F3K9Z2,0.39
A0A1F3LUS0,0.67
A0A1F3SJD8,0.56
A0A1F3WV63,0.61
A0A1F3X2U9,0.51
A0A1F3YR58,0.39
A0A1F4BPU4,0.5
A0A1F4BV46,PARSE_ERROR
A0A1F4C523,0.73
A0A1F4DAB6,0.71
A0A1F4DM28,0.71
A0A1F4H6N7,0.51
A0A1F4N1J8,0.56
A0A1F4V9B5,0.38
A0A1F4VMJ2,0.63
A0A1F4XEZ0,0.63
A0A1F5DNV0,0.64
A0A1F5G039,0.73
A0A1F5HFK2,0.53
A0A1F5HIX4,0.67
A0A1F5HQS9,0.6
A0A1F5HUN3,0.56
A0A1F5I1P4,0.78
A0A1F5L0U7,0.38
A0A1F5RAT3,0.69
A0A1F5RZV8,0.58
A0A1F5U1T6,0.54
A0A1F5WQ92,0.73
A0A1F5X514,0.51
A0A1F5ZML9,0.61
A0A1F6A384,0.49
A0A1F6AFU8,0.67
A0A1F6ATN4,0.68
A0A1F6DJ67,0.74
A0A1F6GCX7,0.59
A0A1F6HRT0,0.7
A0A1F6HT34,0.45
A0A1F6K631,0.59
A0A1F6KV23,0.51
A0A1F6LS15,0.58
A0A1F6M859,0.56
A0A1F6M868,0.69
A0A1F6NJI6,0.65
A0A1F6P1V9,0.69
A0A1F6PJN4,0.51
A0A1F6R9Q8,0.46
A0A1F6RCB7,0.64
A0A1F6RR29,0.59
A0A1F6TTH9,0.58
A0A1F6V392,0.74
A0A1F6XXY1,0.7
A0A1F6Z427,0.76
A0A1F6ZV89,0.75
A0A1F7D3M1,0.63
A0A1F7DQE7,0.44
A0A1F7H368,0.64
A0A1F7I3F4,0.58
A0A1F7LEF2,0.61
A0A1F7LZH3,0.56
A0A1F7MAV4,0.74
A0A1F7MZW0,0.55
A0A1F7NQ34,0.79
A0A1F7P7C1,0.69
A0A1F7Q6S2,0.73
A0A1F7R1P8,0.62
A0A1F7RW78,0.54
A0A1F7SC93,0.74
A0A1F7SWQ6,0.73
A0A1F7SWX0,0.65
A0A1F7UG04,0.74
A0A1F7UI85,0.46
A0A1F7ZZ14,0.39
A0A1F8B4K5,0.48
A0A1F8DXV7,0.75
A0A1F8F0B9,0.6
A0A1F8GM68,0.56
A0A1F8H9Q5,0.76
A0A1F8LE34,0.59
A0A1F8LVZ9,0.45
A0A1F8R804,0.75
A0A1F8SSI4,0.62
A0A1F8WWY4,0.52
A0A1F8XQX6,0.56
A0A1F9CDP7,0.58
A0A1F9DSS0,0.54
A0A1F9H8I9,0.7
A0A1F9I1W5,0.64
A0A1F9I3P2,0.46
A0A1F9JDT7,0.74
A0A1F9KL72,0.58
A0A1F9KPC9,0.59
A0A1F9MZ55,0.52
A0A1F9N726,0.56
A0A1F9PN06,0.61
A0A1F9PS09,0.57
A0A1F9Q0Q0,0.45
A0A1F9S106,0.55
A0A1F9S1M2,0.56
A0A1F9S454,0.48
A0A1F9SYJ5,0.48
A0A1F9TVN7,0.43
A0A1F9WTY0,0.63
A0A1F9Y1D2,0.49
A0A1F9YU68,0.74
A0A1G0D557,0.71
A0A1G0DQJ6,0.42
A0A1G0FDN3,0.55
A0A1G0HPY6,0.55
A0A1G0I3P6,0.56
A0A1G0IEA9,0.62
A0A1G0M3X3,0.41
A0A1G0NGE7,0.59
A0A1G0P2U5,0.54
A0A1G0QS13,0.8
A0A1G0QWD1,0.42
A0A1G0VFC2,0.51
A0A1G0YF78,0.56
A0A1G0ZKW5,0.65
A0A1G1BC10,0.73
A0A1G1EXG8,0.69
A0A1G1HNW2,0.49
A0A1G1HW18,0.58
A0A1G1J7M3,0.71
A0A1G1JZ39,0.59
A0A1G1KAB7,0.55
A0A1G1KRB1,0.56
A0A1G1L7U8,0.71
A0A1G1LU95,0.76
A0A1G1NN54,0.71
A0A1G1Q2F3,0.57
A0A1G1Q4L5,0.56
A0A1G1SPT8,0.79
A0A1G1SUJ7,0.58
A0A1G1T6E1,0.67
A0A1G1W607,0.54
A0A1G1W777,0.55
A0A1G1WMA8,0.5
A0A1G1WPS1,0.5
A0A1G1Z113,0.47
A0A1G1ZC26,0.55
A0A1G1ZKZ0,0.57
A0A1G1ZWX2,0.56
A0A1G2A2F3,0.65
A0A1G2B2D7,0.5
A0A1G2BTU9,0.42
A0A1G2DLP3,0.52
A0A1G2EYY3,0.64
A0A1G2FJP9,0.59
A0A1G2KWB7,0.62
A0A1G2PQW8,0.61
A0A1G2Q4Y4,0.74
A0A1G2QFB0,0.5
A0A1G2QKJ4,0.59
A0A1G2QWC0,0.74
A0A1G2RJW9,0.59
A0A1G2UVN2,PARSE_ERROR
A0A1G2X1X5,0.58
A0A1G3BD71,0.47
A0A1G3CFH4,0.58
A0A1G3D8A5,0.64
A0A1G3FTQ4,0.73
A0A1G3M7W0,0.65
A0A1G3SVS3,0.73
A0A1G3UPZ6,0.61
A0A1G3XY20,0.41
A0A1G3YAR1,0.53
A0A1G3YB08,0.56
A0A1G4BM34,0.68
A0A1G4FKA4,0.48
A0A1G4I1M3,0.58
A0A1G4IGJ9,0.47
A0A1G4MBW2,0.55
A0A1G4T3F0,0.46
A0A1G5AKU0,0.56
A0A1G5GY22,0.51
A0A1G5NUP6,0.54
A0A1G5STV5,0.54
A0A1G5Z4R5,0.61
A0A1G6HLN6,0.73
A0A1G6I1I4,0.59
A0A1G6J0F7,0.54
A0A1G6KNJ4,0.8
A0A1G6MFP3,0.64
A0A1G6MHD8,0.61
A0A1G6NVF2,PARSE_ERROR
A0A1G6PGC5,0.52
A0A1G6PYS3,0.69
A0A1G6SBC6,0.69
A0A1G6T8Z1,0.57
A0A1G6TRS1,0.52
A0A1G7BXZ9,0.54
A0A1G7C2C5,0.75
A0A1G7FZ93,0.58
A0A1G7IF38,0.72
A0A1G7JCP7,0.38
A0A1G7MBA1,0.61
A0A1G7N6J7,0.46
A0A1G7NXI4,0.47
A0A1G7PKI6,0.55
A0A1G7PZ72,0.75
A0A1G7U1T2,0.73
A0A1G7V469,0.58
A0A1G7W4D6,0.73
A0A1G7YAW7,0.59
A0A1G8CFH3,0.67
A0A1G8CRL3,0.56
A0A1G8E5Y7,0.75
A0A1G8HJ12,0.75
A0A1G8IB72,0.36
A0A1G8IL20,0.52
A0A1G8M1K7,0.58
A0A1G8SB50,0.52
A0A1G8WV72,0.52
A0A1G8ZU97,0.58
A0A1G9D7T6,0.57
A0A1G9J8B0,0.75
A0A1G9M6E8,0.57
A0A1G9ZMC5,0.47
A0A1H0BG08,0.62
A0A1H0CSC7,0.72
A0A1H0ES55,0.49
A0A1H0Q371,0.51
A0A1H0QCK4,0.61
A0A1H0SJK8,0.53
A0A1H0UIF8,0.54
A0A1H0VR35,0.55
A0A1H0XC47,0.69
A0A1H1DVN5,0.57
A0A1H1FJG8,0.5
A0A1H1I5H8,0.74
A0A1H1IGQ8,0.55
A0A1H1IZ53,0.75
A0A1H1JHF2,0.78
A0A1H1K583,0.6
A0A1H1T1C8,0.58
A0A1H1UI43,0.73
A0A1H1XVQ1,0.64
A0A1H2C3R2,0.75
A0A1H2ESQ0,0.54
A0A1H2KJI8,0.62
A0A1H2SLF0,0.56
A0A1H2T8N6,0.49
A0A1H2V8P5,0.72
A0A1H2VUL7,0.67
A0A1H2WGU7,0.51
A0A1H2Z358,0.72
A0A1H2ZN58,0.56
A0A1H3BLN1,0.72
A0A1H3BYK5,0.54
A0A1H3EKJ6,0.62
A0A1H3ELP2,0.58
A0A1H3HTJ0,0.61
A0A1H3J0K6,0.67
A0A1H3N389,0.55
A0A1H3PV05,0.66
A0A1H3V2L8,0.58
A0A1H3X2C7,0.61
A0A1H3X9F4,0.7
A0A1H3Y4L6,0.7
A0A1H3Y8L3,0.64
A0A1H3YFW9,0.73
A0A1H4ADY1,0.5
A0A1H4AT04,0.58
A0A1H4FVU7,0.43
A0A1H4GW24,0.68
A0A1H4P406,PARSE_ERROR
A0A1H4P5V5,0.66
A0A1H4PY06,0.46
A0A1H4SHU3,0.44
A0A1H4X8I5,0.45
A0A1H5M4Z1,0.45
A0A1H5MES6,0.43
A0A1H5VPV5,0.52
A0A1H6AGI4,0.71
A0A1H6AU33,0.6
A0A1H6CFA6,0.51
A0A1H6D1B9,0.69
A0A1H6DRI3,0.65
A0A1H6G878,0.49
A0A1H6GYC0,PARSE_ERROR
A0A1H6H0H0,0.77
A0A1H6PB97,0.76
A0A1H6PV26,0.45
A0A1H6RAU5,0.5
A0A1H6ZZ58,0.57
A0A1H7AKJ7,0.48
A0A1H7DRZ3,0.57
A0A1H7EZD6,0.54
A0A1H7HTD1,0.42
A0A1H7M8V1,0.41
A0A1H7MWA9,0.44
A0A1H7QQJ3,0.52
A0A1H7SQK9,0.59
A0A1H7WGX9,0.48
A0A1H7XFY5,0.57
A0A1H7XTZ1,0.5
A0A1H7XYB1,0.35
A0A1H8AY26,0.49
A0A1H8BNL8,0.79
A0A1H8CAZ3,0.53
A0A1H8KBB7,0.61
A0A1H8PGG4,0.69
A0A1H8Q8S0,0.7
A0A1H8TRK6,0.6
A0A1H8X7K2,0.55
A0A1H8X8R1,0.57
A0A1H8ZC11,0.51
A0A1H9A140,0.71
A0A1H9E784,0.64
A0A1H9FRF6,0.73
A0A1H9GVV6,0.55
A0A1H9HZ21,0.74
A0A1H9JWH9,0.55
A0A1H9LD60,0.6
A0A1H9RYI1,PARSE_ERROR
A0A1H9UFK7,0.52
A0A1H9VLI4,0.33
A0A1H9YPL4,0.48
A0A1H9ZP49,0.59
A0A1I0BCE0,0.71
A0A1I0LBM4,0.48
A0A1I0LET7,0.42
A0A1I0NFK8,0.41
A0A1I0PWB3,0.72
A0A1I0Q8L3,0.48
A0A1I0RG80,0.51
A0A1I0YLW4,0.63
A0A1I1B492,0.67
A0A1I1GEZ3,0.72
A0A1I1KNB4,0.65
A0A1I1M2B9,0.56
A0A1I1NK64,0.74
A0A1I1RN21,0.58
A0A1I1TUF1,0.56
A0A1I1UA97,0.58
A0A1I2DGR9,PARSE_ERROR
A0A1I2HGL0,0.55
A0A1I2HIX3,0.53
A0A1I2LFT3,0.62
A0A1I3J3J3,0.68
A0A1I3PLS0,0.55
A0A1I3RM25,0.72
A0A1I3RRD1,0.54
A0A1I3SJS9,0.57
A0A1I3TDZ5,0.74
A0A1I3V2S8,0.46
A0A1I3XB32,0.68
A0A1I3YL43,0.75
A0A1I3ZK32,0.54
A0A1I3ZXY3,0.48
A0A1I4AXH7,0.6
A0A1I4SWH0,0.7
A0A1I4WCU9,0.51
A0A1I5BDQ7,0.56
A0A1I5C885,0.52
A0A1I5GL69,0.51
A0A1I5H0T4,0.72
A0A1I5RC84,0.55
A0A1I5RIZ6,0.62
A0A1I5S143,0.6
A0A1I5TF46,0.31
A0A1I5VFC8,0.58
A0A1I5X2Q7,0.65
A0A1I6JX41,0.6
A0A1I6K5S7,0.57
A0A1I6M4F4,0.78
A0A1I6NYF9,0.46
A0A1I6PF98,0.5
A0A1I6PN12,0.63
A0A1I6STD0,0.59
A0A1I7C585,0.77
A0A1I7CJD4,0.78
A0A1I7DQA5,0.49
A0A1I7EVX5,0.52
A0A1I7H4S5,0.72
A0A1I7LVT0,0.47
A0A1I7VWG6,0.48
A0A1I7XIP3,0.64
A0A1I7YK44,0.45
A0A1I8CN01,0.52
A0A1I8FDE9,0.43
A0A1I8FSZ6,0.58
A0A1I8GZD2,0.42
A0A1I8H0H2,0.63
A0A1I8HNW3,0.5
A0A1I8ICU0,0.3
A0A1I8IZX1,0.5
A0A1I9Y9T9,0.59
A0A1J0A543,0.73
A0A1J0KG93,0.53
A0A1J0R8G9,0.52
A0A1J0RAM4,0.36
A0A1J0U1H6,0.67
A0A1J0Z3F0,0.41
A0A1J1CY24,0.64
A0A1J1DSR9,0.59
A0A1J3CUB5,0.73
A0A1J3DFV4,0.72
A0A1J4JKT6,0.41
A0A1J4LXG1,0.45
A0A1J4LZ70,0.63
A0A1J4QEY0,0.54
A0A1J4RGY3,0.69
A0A1J4RX95,0.49
A0A1J4S129,0.52
A0A1J4S224,0.74
A0A1J4S5Z5,0.48
A0A1J4TLM4,0.77
A0A1J4U164,0.64
A0A1J4WHC7,0.67
A0A1J4X805,0.7
A0A1J4XQ57,0.42
A0A1J4Z098,0.58
A0A1J4Z8R6,0.51
A0A1J5BPM7,0.52
A0A1J5C2U7,0.5
A0A1J5CV35,0.77
A0A1J5DD23,0.56
A0A1J5DM61,0.54
A0A1J5DMY8,0.71
A0A1J5DTK8,0.46
A0A1J5EDQ8,0.52
A0A1J5FIK4,0.79
A0A1J5H853,0.59
A0A1J5H9K9,0.76
A0A1J5HCX4,0.72
A0A1J5IJW3,0.46
A0A1J5J7C7,0.37
A0A1J5QVI7,0.64
A0A1J6EKM6,0.49
